original_org_name,variant
Netherlands Enterprise Agency,Netherlands Enterprise Agnecy
Netherlands Enterprise Agency,netherlands enterprise agency
Netherlands Enterprise Agency,Netherlands Enterprise Agency
Netherlands Ministry of Foreign Affairs,Netherlands Ministry of Foreign Affairs
Netherlands Ministry of Foreign Affairs,Netherlands Miinstry of Foreign Affairs
Netherlands Ministry of Foreign Affairs,netherlands ministry of foreign affairs
Office for Government Policy Coordination,Office for Government Policy Coordintaion
Office for Government Policy Coordination,office for government policy coordination
Office for Government Policy Coordination,Office for Government Policy Coordination
Korea International Cooperation Agency,Korea International Cooperation Agency
Korea International Cooperation Agency,Korea International Cooperation Agnecy
Korea International Cooperation Agency,korea international cooperation agency
Ministry of Foreign Affairs,Ministry of Foreign Affairs
Ministry of Foreign Affairs,ministry of foreign affairs
Ministry of Foreign Affairs,Ministry of ForeignA ffairs
"United Nations Educational, Scientific and Cultural Organisation","United Nations Educational, Scientific and Cultural Organisation"
"United Nations Educational, Scientific and Cultural Organisation","Unitde Nations Educational, Scientific and Cultural Organisation"
"United Nations Educational, Scientific and Cultural Organisation",United Nations Educational Scientific and Cultural Organisation
"United Nations Educational, Scientific and Cultural Organisation","united nations educational, scientific and cultural organisation"
World Food Programme,world food programme
World Food Programme,World Food Programme
World Food Programme,oWrld Food Programme
Norad - Norwegian Agency for Development Cooperation,Norad  Norwegian Agency for Development Cooperation
Norad - Norwegian Agency for Development Cooperation,Norad - Norwegian Agency for Development Cooperation
Norad - Norwegian Agency for Development Cooperation,oNrad - Norwegian Agency for Development Cooperation
Norad - Norwegian Agency for Development Cooperation,norad - norwegian agency for development cooperation
Norwegian Government,norwegian government
Norwegian Government,NorwegianG overnment
Norwegian Government,Norwegian Government
Norwegian Ministry of Foreign Affairs - Embassies,Norwegian Ministry of Foreign Affairs - Embassies
Norwegian Ministry of Foreign Affairs - Embassies,Norwegian Ministry of Foregin Affairs - Embassies
Norwegian Ministry of Foreign Affairs - Embassies,norwegian ministry of foreign affairs - embassies
Norwegian Ministry of Foreign Affairs - Embassies,Norwegian Ministry of Foreign Affairs  Embassies
UNICEF - United Nations Children's Fund,United Nations Children's Fund
UNICEF - United Nations Children's Fund,UNICEF
UNICEF - United Nations Children's Fund,United Nations Children's Fund - United Nations Children's Fund
UNICEF - United Nations Children's Fund,UNICEF - United Natoins Children's Fund
UNICEF - United Nations Children's Fund,UNICEF  United Nations Childrens Fund
UNICEF - United Nations Children's Fund,UNICEF - United Nations Children's Fund
UNICEF - United Nations Children's Fund,unicef - united nations children's fund
BMZ - German Federal Ministry for Economic Cooperation and Development,BMZ - German Federla Ministry for Economic Cooperation and Development
BMZ - German Federal Ministry for Economic Cooperation and Development,BMZ  German Federal Ministry for Economic Cooperation and Development
BMZ - German Federal Ministry for Economic Cooperation and Development,BMZ - German Federal Ministry for Economic Cooperation and Development
BMZ - German Federal Ministry for Economic Cooperation and Development,bmz - german federal ministry for economic cooperation and development
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,GIZ - German Corporation for International Cooperation
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,German Corporation for International Cooperation
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,GIZ
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,GIZ  Deutsche Gesellschaft fur Internationale Zusammenarbeit
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbiet
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,giz - deutsche gesellschaft fur internationale zusammenarbeit
GIZ - Deutsche Gesellschaft fur Internationale Zusammenarbeit,GIZ - GIZ
UNDP - UN Development Programme,UNDP - UN Development Prorgamme
UNDP - UN Development Programme,UNDP  UN Development Programme
UNDP - UN Development Programme,undp - un development programme
UNDP - UN Development Programme,UNDP - UN Development Programme
UNFPA - UN Population Fund,UNFPA  UN Population Fund
UNFPA - UN Population Fund,unfpa - un population fund
UNFPA - UN Population Fund,UNFPA - UN Populatoin Fund
UNFPA - UN Population Fund,UNFPA - UN Population Fund
FAO - Food and Agricultural Organization of the United Nations,fao - food and agricultural organization of the united nations
FAO - Food and Agricultural Organization of the United Nations,FAO  Food and Agricultural Organization of the United Nations
FAO - Food and Agricultural Organization of the United Nations,FAO - Food and Agricultural Organization of the United Nations
FAO - Food and Agricultural Organization of the United Nations,FAO - Food and AgriculturalO rganization of the United Nations
WFP - World Food Programme,WFP  World Food Programme
WFP - World Food Programme,WFP - World Food Programme
WFP - World Food Programme,WFP-  World Food Programme
WFP - World Food Programme,wfp - world food programme
Digni,digni
Digni,Digni
FLM - Fiangonana Loterana Malagasy Eglise Luthérie,flm - fiangonana loterana malagasy eglise luthérie
FLM - Fiangonana Loterana Malagasy Eglise Luthérie,FLM  Fiangonana Loterana Malagasy Eglise Luthérie
FLM - Fiangonana Loterana Malagasy Eglise Luthérie,FLM - Fiangonana Loterana Malagasy Eglise Luthérie
FLM - Fiangonana Loterana Malagasy Eglise Luthérie,FLM - Fiangonana Loterana Malagasy gElise Luthérie
WWF - local office,WWF  local office
WWF - local office,wwf - local office
WWF - local office,WWF - local offiec
WWF - local office,WWF - local office
WWF Norge,wwf norge
WWF Norge,WW FNorge
WWF Norge,WWF Norge
Norwegian Ministry of Foreign Affairs,Norwegian Minitsry of Foreign Affairs
Norwegian Ministry of Foreign Affairs,norwegian ministry of foreign affairs
Norwegian Ministry of Foreign Affairs,Norwegian Ministry of Foreign Affairs
Global Witness,global witness
Global Witness,Global Witness
Global Witness,GlobalW itness
Det Kgl. Selskap for Norges Vel,det kgl. selskap for norges vel
Det Kgl. Selskap for Norges Vel,Det Kgl. Selskap for Norges Vel
Det Kgl. Selskap for Norges Vel,Det Kgl. Selskapf or Norges Vel
Det Kgl. Selskap for Norges Vel,Det Kgl Selskap for Norges Vel
Office of the Auditor General of Norway,Office of the Auditor General of Norway
Office of the Auditor General of Norway,office of the auditor general of norway
Office of the Auditor General of Norway,Office of the Auditor Generalo f Norway
Food and Agriculture Organization (FAO),food and agriculture organization (fao)
Food and Agriculture Organization (FAO),Food adn Agriculture Organization (FAO)
Food and Agriculture Organization (FAO),Food and Agriculture Organization FAO
Food and Agriculture Organization (FAO),Food and Agriculture Organization (FAO)
GEF (FAO) - Global Environment Facility (through FAO),GEF FAO  Global Environment Facility through FAO
GEF (FAO) - Global Environment Facility (through FAO),gef (fao) - global environment facility (through fao)
GEF (FAO) - Global Environment Facility (through FAO),GEF (FAO) - Global Environment Facility (through FAO)
GEF (FAO) - Global Environment Facility (through FAO),GEF (FAO) - Global Environmnet Facility (through FAO)
"Ministry of Foreign Affairs, Denmark",Ministry of Foreign Affairs Denmark
"Ministry of Foreign Affairs, Denmark","Ministry of Foreign Affairs, Denmark"
"Ministry of Foreign Affairs, Denmark","ministry of foreign affairs, denmark"
"Ministry of Foreign Affairs, Denmark","Ministry ofF oreign Affairs, Denmark"
WWF Verdensnaturfonden,WFW Verdensnaturfonden
WWF Verdensnaturfonden,wwf verdensnaturfonden
WWF Verdensnaturfonden,WWF Verdensnaturfonden
Madagascar,Madagasacr
Madagascar,Madagascar
Madagascar,madagascar
UNDP Administered Donor Joint Trust Fund (UNJ),UNDP Administered Donor Joint Trust Fund (UNJ)
UNDP Administered Donor Joint Trust Fund (UNJ),UDNP Administered Donor Joint Trust Fund (UNJ)
UNDP Administered Donor Joint Trust Fund (UNJ),undp administered donor joint trust fund (unj)
UNDP Administered Donor Joint Trust Fund (UNJ),UNDP Administered Donor Joint Trust Fund UNJ
Norway,Norway
Norway,norway
Norway,oNrway
World Bank (WB),World Bank (WB)
World Bank (WB),WorldB ank (WB)
World Bank (WB),world bank (wb)
World Bank (WB),World Bank WB
World Food Programme Administered Trust Fund,world food programme administered trust fund
World Food Programme Administered Trust Fund,World Food Porgramme Administered Trust Fund
World Food Programme Administered Trust Fund,World Food Programme Administered Trust Fund
"Affaires étrangères, Commerce et Développement Canada (MAECD)",Global Affairs Canada
"Affaires étrangères, Commerce et Développement Canada (MAECD)",Global Affairs Canada (MAECD)
"Affaires étrangères, Commerce et Développement Canada (MAECD)","Affaires étrangères, Commerce et Développement Canada (MAECD)"
"Affaires étrangères, Commerce et Développement Canada (MAECD)","Foreign Affairs, Trade and Development Canada (MAECD)"
"Affaires étrangères, Commerce et Développement Canada (MAECD)","affaires étrangères, commerce et développement canada (maecd)"
"Affaires étrangères, Commerce et Développement Canada (MAECD)","Affaires étrangères, Commerce et Développemetn Canada (MAECD)"
"Affaires étrangères, Commerce et Développement Canada (MAECD)",Affaires étrangères Commerce et Développement Canada MAECD
"Affaires étrangères, Commerce et Développement Canada (MAECD)","Foreign Affairs, Trade and Development Canada"
Canada,canada
Canada,Candaa
Canada,Canada
Cowater International Inc.,Cwoater International Inc.
Cowater International Inc.,Cowater International Inc
Cowater International Inc.,Cowater International Inc.
Cowater International Inc.,cowater international inc.
"Affaires étrangères, Commerce et Développement Canada",Global Affairs Canada
"Affaires étrangères, Commerce et Développement Canada","affaires étrangères, commerce et développement canada"
"Affaires étrangères, Commerce et Développement Canada",Affaires étrangères Commerce et Développement Canada
"Affaires étrangères, Commerce et Développement Canada","Affaires étrangères, Commerce e tDéveloppement Canada"
"Affaires étrangères, Commerce et Développement Canada","Affaires étrangères, Commerce et Développement Canada"
"Affaires étrangères, Commerce et Développement Canada","Foreign Affairs, Trade and Development Canada"
UNICEF - Fonds des Nations Unies pour l'enfance,United Nations Children's Fund
UNICEF - Fonds des Nations Unies pour l'enfance,UNICEF - Fonds des Nations Unies pour l'enfance
UNICEF - Fonds des Nations Unies pour l'enfance,UNICEF - Fonds des Nations Unies opur l'enfance
