org_id,org_name,org_type,org_type_code
XM-DAC-1,Austria,Government,10
XM-DAC-2,Belgium,Government,10
XM-DAC-3,Denmark,Government,10
XM-DAC-4,France,Government,10
XM-DAC-5,Germany,Government,10
XM-DAC-6,Italy,Government,10
XM-DAC-7,Netherlands,Government,10
XM-DAC-8,Norway,Government,10
XM-DAC-9,Portugal,Government,10
XM-DAC-10,Sweden,Government,10
XM-DAC-11,Switzerland,Government,10
XM-DAC-12,United Kingdom,Government,10
XM-DAC-18,Finland,Government,10
XM-DAC-20,Iceland,Government,10
XM-DAC-21,Ireland,Government,10
XM-DAC-22,Luxembourg,Government,10
XM-DAC-40,Greece,Government,10
XM-DAC-50,Spain,Government,10
XM-DAC-61,Slovenia,Government,10
XM-DAC-68,Czechia,Government,10
XM-DAC-69,Slovak Republic,Government,10
XM-DAC-75,Hungary,Government,10
XM-DAC-76,Poland,Government,10
XM-DAC-82,Estonia,Government,10
XM-DAC-84,Lithuania,Government,10
XM-DAC-301,Canada,Government,10
XM-DAC-302,United States,Government,10
XM-DAC-701,Japan,Government,10
XM-DAC-742,Korea,Government,10
XM-DAC-801,Australia,Government,10
XM-DAC-820,New Zealand,Government,10
XM-DAC-918,EU Institutions,Multilateral,40
XM-DAC-26,Monaco,Government,10
XM-DAC-30,Cyprus,Government,10
XM-DAC-45,Malta,Government,10
XM-DAC-55,Türkiye,Government,10
XM-DAC-62,Croatia,Government,10
XM-DAC-70,Liechtenstein,Government,10
XM-DAC-72,Bulgaria,Government,10
XM-DAC-77,Romania,Government,10
XM-DAC-83,Latvia,Government,10
XM-DAC-87,Russia,Government,10
XM-DAC-130,Algeria,Government,10
XM-DAC-133,Libya,Government,10
XM-DAC-358,Mexico,Government,10
XM-DAC-543,Iraq,Government,10
XM-DAC-546,Israel,Government,10
XM-DAC-552,Kuwait,Government,10
XM-DAC-561,Qatar,Government,10
XM-DAC-566,Saudi Arabia,Government,10
XM-DAC-576,United Arab Emirates,Government,10
XM-DAC-611,Azerbaijan,Government,10
XM-DAC-613,Kazakhstan,Government,10
XM-DAC-732,Chinese Taipei,Government,10
XM-DAC-764,Thailand,Government,10
XM-DAC-765,Timor-Leste,Government,10
XM-DAC-1-1,Austria Federal Ministry of Finance,Government,10
XM-DAC-1-2,Austria Various ministries,Government,10
XM-DAC-1-3,Austria Federal Government of Austria,Government,10
XM-DAC-1-4,Austria Oesterreichische Kontrollbank AG,Government,10
XM-DAC-1-5,Austria Federal Ministry for European and International Affairs,Government,10
XM-DAC-1-6,"Austria Provincial governments, local communities",Government,10
XM-DAC-1-7,Austria Federal Chancellery,Government,10
XM-DAC-1-8,Austria Austrian Development Agency,Government,10
XM-DAC-1-9,"Austria FM of Education, Science and Research",Government,10
XM-DAC-1-10,"Austria Federal Ministry of Agriculture, Regions and Tourism",Government,10
XM-DAC-1-11,Austria FM of Defense,Government,10
XM-DAC-1-12,Austria Ministry of Interior,Government,10
XM-DAC-1-13,Austria Austrian Development Bank,Government,10
XM-DAC-1-14,"Austria Ministry for Education, Arts and Culture",Government,10
XM-DAC-1-15,"Austria Ministry for Science, Research and Economy",Government,10
XM-DAC-1-16,Austria Federal Ministry of Education and Women's Affairs,Government,10
XM-DAC-1-17,"Austria Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology",Government,10
XM-DAC-1-98,Austria Other Public Bodies,Government,10
XM-DAC-1-99,Austria Miscellaneous,Government,10
XM-DAC-2-10,Belgium Directorate General for Co-operation and Development,Government,10
XM-DAC-2-20,Belgium Official Federal Service of Foreign Affaires (excl. DGCD),Government,10
XM-DAC-2-22,Belgium Belgian Investment Company for Developing Countries,Government,10
XM-DAC-2-30,Belgium Official Federal Service of Finance,Government,10
XM-DAC-2-31,Belgium Ducroire National Office,Government,10
XM-DAC-2-39,Belgium Other Official Federal Services,Government,10
XM-DAC-2-60,Belgium provinces/municipalities,Government,10
XM-DAC-2-70,Belgium Flanders Official Regional Ministries,Government,10
XM-DAC-2-80,Belgium Walloon Official Regional Ministries,Government,10
XM-DAC-2-91,Belgium Brussels Official Regional Ministries,Government,10
XM-DAC-2-94,Belgium German speaking Official Regional Ministries,Government,10
XM-DAC-2-99,Belgium Miscellaneous,Government,10
XM-DAC-3-1,Denmark Ministry of Foreign Affairs,Government,10
XM-DAC-3-2,Denmark Danish International Development Agency,Government,10
XM-DAC-3-3,Denmark Investment Fund For Developing Countries,Government,10
XM-DAC-3-4,Denmark Other ministries,Government,10
XM-DAC-3-5,"Denmark Ministry for Immigration, Integration and Housing",Government,10
XM-DAC-3-72,Denmark Eksport Kredit Fonden,Government,10
XM-DAC-3-99,Denmark Miscellaneous,Government,10
XM-DAC-4-1,France Government,Government,10
XM-DAC-4-2,France MINEFI/NATEXIS,Government,10
XM-DAC-4-3,France French Development Agency,Government,10
XM-DAC-4-6,France Ministry of Foreign Affairs,Government,10
XM-DAC-4-7,France MAE/FSP,Government,10
XM-DAC-4-8,France COOP DECENTRAL/MAE,Government,10
XM-DAC-4-9,France MAE/COOP,Government,10
XM-DAC-4-10,"France Ministry of Economy, Finance and Industry",Government,10
XM-DAC-4-12,France Ministry of Interior,Government,10
XM-DAC-4-13,France Ministry of Agriculture,Government,10
XM-DAC-4-14,France Ministry of Defence,Government,10
XM-DAC-4-15,France Interdepartmental,Government,10
XM-DAC-4-16,France Other Ministries,Government,10
XM-DAC-4-17,"France Ministry of Education, Higher education and Research",Government,10
XM-DAC-4-30,France MIN/EQUIPEMENT,Government,10
XM-DAC-4-35,France MIN/TRANSPORTS,Government,10
XM-DAC-4-36,France MIN/SANTE,Government,10
XM-DAC-4-37,France MIN/TRAVAIL,Government,10
XM-DAC-4-42,France MINEFI/BDF,Government,10
XM-DAC-4-43,France Coface,Government,10
XM-DAC-4-44,France Proparco,Government,10
XM-DAC-4-45,France STOA,Government,10
XM-DAC-4-46,France CIRAD,Government,10
XM-DAC-4-47,France IRD,Government,10
XM-DAC-4-91,France TRESOR,Government,10
XM-DAC-4-92,France SEU,Government,10
XM-DAC-4-93,France PTT,Government,10
XM-DAC-4-94,France ORTF,Government,10
XM-DAC-4-99,France Miscellaneous,Government,10
XM-DAC-5-1,Germany Federal Ministry for Economic Cooperation and Development,Government,10
XM-DAC-5-2,Germany KfW Bankengruppe (KfW banking group),Government,10
